iata_code;1;2
ELF;Эль-Фашер;El Fasher
ELG;;Djamet
ELH;;International
ELI;;Elim
ELJ;Эль-Рекрео;El Recreo
ELK;;Municipal
ELL;Эллисрас;Ellisras
ELM;;Elmira Corning Regional
ELN;;Bowers Field
ELO;Эльдорадо;Eldorado
ELP;;El Paso International Airport
ELQ;;Gassim Regional Airport
ELR;;Elelim
ELS;Ист Лондон;East London
ELT;Тур-Синай-Сити;Tour Sinai City
ELU;;Guemar
ELV;;Elfin Cove SPB
ELW;;Ellamar
ELX;;El Tigre
ELY;;Yelland
ELZ;;Municipal
EMA;;East Midlands
EMB;;Embarkadero
EMD;;Emerald
EME;Эмден;Emden
EMG;Эмпангени;Empangeni
EMI;Эмирау;Emirau
EMK;;Emmonak
EML;Вейкфилд-Вестгейт;Emmen
EMM;;Kemerer
EMN;Нема;Nema
EMO;Эмо;Emo
EMP;;Emporia
EMS;Эмбесса;Embessa
EMT;;El Monte
EMX;Эль-Майтен;El Maiten
EMY;Эль-Минья;El Minya
ENA;;Kenai
ENB;;Eneabba West
ENC;;Essey
END;;Vance Afb
ENE;Энде;Ende
ENF;Енонтекио;Enontekio
ENH;Энши;Enshi
ENI;;El Nido
ENJ;Эль-Нараньо;El Naranjo
ENK;;Enniskillen St. Angelo
ENL;;Municipal
ENN;;Municipal
ENO;;Teniente Prim Alarcon
ENQ;;Coronel E Soto Cano AB
ENS;;Twente
ENT;;Enewetak Island
ENU;Энугу;Enugu
ENV;;Wendover
ENW;;Kenosha Regional Airport
EOH;;Enrique Olaya Herrera International Airport
EOI;Эдей;Eday
EOK;;Keokuk
EOR;Эль-Дорадо;El Dorado
EOS;;Neosho
EOZ;Элорса;Elorza
EPA;;El Palomar
EPG;;Browns
EPH;;Ephrata
EPI;Эпи;Epi
EPK;Эпископи;Episkopi
EPL;;Mirecourt
EPN;Эпена;Epena
EPR;;Esperance
EPS;;Arroyo Barril International
EPT;Элиптамин;Eliptamin
EPU;Парну;Parnu
EQS;Эскель;Esquel
ERA;Эригаво;Erigavo
ERB;;Ernabella
ERC;Эрзинкан;Erzincan
ERD;Бердянск;Berdyansk
ERE;Эрейв;Erave
ERF;Эрфурт;Erfurt
ERH;;Moulay Ali Cherif
ERI;;International
ERM;;Comandante Kraemer
ERN;;Eirunepe
ERO;;Coast Guard
ERR;;Errol
ERS;;Eros
ERT;;Erdenet
ERU;Эруме;Erume
ERV;;Kerrville
ERZ;;Budrum
ESB;;Esenboga
ESC;;Delta County Arpt
ESD;;Orcas Island
ESE;;Ensenada
ESF;;Esler Field
ESG;Марискал-Эстигар;Mariscal Estigarribia
ESH;Шохем-Бай-Си;Shoreham
ESI;;Espinosa
ESK;Эскишехир;Eskisehir
ESL;Элиста;Elista
ESM;;Esmeraldas
ESN;;Easton
ESO;;Espanola
ESP;;Birchwood-Pocono
ESR;Сальвадор;El Salvador
ESS;Эссен;Essen
EST;;Municipal
ESU;Эссаурия;Essaouira
ESW;;State
ETB;;West Bend
ETD;;Etadunna
ETE;Генда-Вуха;Genda Wuha
ETH;Эйлат;Eilat
ETN;;Municipal
ETS;;Municipal
ETZ;;Metz-nancy-lorraine
EUA;;Kaufana
EUC;;Eucla
EUE;;Eureka
EUF;;Weedon Field
EUG;Юджин;Eugene
EUM;Ноймюнстер;Neumuenster
EUN;;Hassan I
EUO;Паратебуэно;Paratebueno
EUQ;;Evelio Javier
EUX;;F D Roosevelt
EVA;;Landing Strip
EVD;;Eva Downs
EVE;Харстад-Нарвик;Evenes
EVG;Свег;Sveg
EVH;;Evans Head
EVM;;Eveleth
EVN;;Zvartnots
EVV;;Evansville Regional Airport
EVW;;Evanston
EVX;Эвро;Evreux
EWB;;New Bedford
EWD;;Wildman Lake
EWE;Эвер;Ewer
EWI;Энаротали;Enarotali
EWK;;City-County
EWN;;Simmons Nott
EWO;Эво;Ewo
EWR;;Newark Liberty International
EWY;;Greenham RAF
EXI;;SPB
EXM;;Exmouth Gulf
EXT;Эксетер;Exeter
EYL;Йелиман;Yelimane
EYP;Эль-Йопал;El Yopal
EYR;;Yerington
EYS;Элийе-Спрингс;Eliye Springs
EYW;;International
EZE;;Ezeiza Ministro Pistarini
EZS;Елазиг;Elazig
FAA;Фаранах;Faranah
FAB;;Farnborough
FAC;;Faaite
FAE;Вагар;Vagar
FAF;;Felker AAF
FAG;Фагурхолсмыри;Fagurholsmyri
FAH;Фарах;Farah
FAI;;Fairbanks International Airport
FAJ;;Diego Jimenez Torres
FAK;;False Island
FAL;;Falcon State
FAM;;Regional
FAN;Листа;Lista
FAO;Фаро;Faro
FAQ;;Freida River
FAR;;Hector Field
FAS;Фаскрудсфьордур;Faskrudsfjordur
FAT;;Fresno Air Terminal Airport
FAV;Факарава;Fakarava
FAY;;Municipal
FAZ;;Fasa
FBD;Файзабад;Faizabad
FBE;;Francisco Beltrao
FBG;;Simmons AAF
FBK;;Ft Wainwright
FBL;;Municipal
FBM;;Luano
FBR;;Fort Bridger
FBS;;Friday Harbor SPB
FBY;;Municipal
FCA;;Glacier Park International
FCB;;Ficksburg Sentra Oes
FCH;Фресно-Чандлер;Fresno-Chandler
FCM;;Flying Cloud
FCN;;Cuxhaven/Nordholz
FCO;;Leonardo da Vinci International (Fiumicino)
FCS;;Butts AAF
FCT;;Firing Center AAF
FCY;;Municipal
FDE;;Bringeland
FDF;;Lamentin
FDH;Фридрихсхафен;Friedrichshafen
FDK;;Frederick Municipal
FDR;;Municipal
FDU;Бандунду;Bandundu
FDY;;Findlay
FEA;;Fetlar
FEB;Санфебагар;Sanfebagar
FEC;;Feira De Santana
FEG;Фергана;Fergana
FEJ;;Feijo
FEK;;Ferkessedougou
FEL;;Fuerstenfeldbruck
FEN;;Fernando De Noronha
FEP;;Albertus
FER;Фергусонс-Галф;Fergusons Gulf
FES;Сан Фернандо;San Fernando
FET;;Municipal
FEW;;Warren AFB
FEZ;;Sais
FFA;;First Flight
FFD;;RAF Station
FFL;;Municipal
FFM;;Fergus Falls
FFO;;Patterson Afb
FFT;;Capital City
FFU;Футалеуфу;Futaleufu
FGD;;Fderik
FGI;;Fagali I
FGL;Фокс Гласиер;Fox Glacier
FGR;Фенгерола;Fuengirola
FGU;Фангатау;Fangatau
FHU;;Municipal
FHZ;Факахина;Fakahina
FIC;;Fire Cove
FID;;Elizabeth Field
FIE;Фейр-Айсл;Fair Isle
FIG;Фриа;Fria
FIK;;Finke
FIL;;Municipal
FIN;Финшхафен;Finschhafen
FIV;;Five Finger
FIZ;;Fitzroy Crossing
FJR;;Fujairah Intl
FKB;;Soellingen
FKH;;Sculthorp RAF
FKI;;Kisangani
FKJ;Фукуи;Fukui
FKL;;Chess-Lambertin
FKN;;Municipal
FKQ;;Fak Fak
FKS;;Fukushima Airport
FLA;Капитолио;Capitolio
FLB;Кангапара;Cangapara
FLC;Фоллз-Крик;Falls Creek
FLD;;Fond Du Lac
FLE;;Fort Lee AAF
FLF;;Schaferhaus
FLG;;Pulliam Field
FLH;;Flotta
FLI;;Flateyri
FLJ;;Falls Bay
FLL;;Fort Lauderdale/Hollywood International
FLM;Филадельфия;Filadelfia
FLN;;Hercilio Luz
FLO;Флоренция;Florence
FLP;;Flippin
FLR;Перетола;Peretola
FLS;;Flinders Island
FLT;;Flat
FLU;;Flushing
FLV;;Sherman AAF
FLW;Санта-Круз;Santa Cruz
FLX;;Municipal
FLY;;Finley
FMA;;El Pucu
FMC;;Five Mile
FME;;Tipton AAF
FMG;;Flamingo
FMH;;Otis AFB
FMI;Калемие;Kalemie
FMN;;Municipal
FMO;;Greven
FMS;;Municipal
FMY;;Page Field
FNA;;Lungi International
FNB;;Neubrandenburg
FNC;;Madeira
FNE;Фейн;Fane
FNG;Фада-Нгурма;Fada Ngourma
FNH;Финча;Fincha
FNI;;Garons
FNJ;;Sunan International
FNK;;Fin Creek
FNL;;Municipal Airport
FNR;;SPB
FNT;;Bishop International Airport
FOA;;Foula
FOB;;Fort Bragg
FOC;Фучжоу;Fuzhou
FOD;;Fort Dodge Regional
FOE;;Forbes Field
FOG;;Gino Lisa
FOK;;Suffolk County
FOM;Фумбан;Foumban
FON;;Fortuna
FOO;Нумфоор;Numfoor
FOP;;Morris AAF
FOR;;Pinto Martins
FOS;;Forrest
FOT;;Forster
FOU;Фугаму;Fougamou
FOX;;Fox
FOY;Фойя;Foya
FPR;;St Lucie County
FPY;;Perry-Foley
FRA;;Frankfurt International Airport (rhein-main)
FRB;;Forbes
FRC;Франка;Franca
FRD;;Friday Harbor
FRE;Фера-Айленд;Fera Island
FRF;;Rhein-Main AFB
FRG;;Republic Field
FRH;;Municipal
FRI;;Marshall AAF
FRJ;Фреюс;Frejus
FRK;;Fregate Is
FRL;;Luigi Ridolfi
FRM;;Fairmont
FRN;;Bryant AAF
FRO;Флора;Flora
FRP;;Fresh Water Bay
FRQ;Ферамин;Feramin
FRR;;Front Royal-Warren County
FRS;Санта-Элена;Santa Elena
FRT;Фрутильяр;Frutillar
FRU;Манас;Manas
FRW;Франсистаун;Francistown
FRY;;Fryeburg
FRZ;;Fritzlar Airbase
FSC;;Sud Corse
FSD;;Joe Foss Field Airport
FSI;;Henry Post AAF
FSK;;Municipal
FSL;;Fossil Downs
FSM;;Regional
FSN;;Haley AAF
FSP;;Saint-pierre Pointe-blanche
FSS;;Kinloss
FST;;Pecos County
FSU;;Fort Sumner
FTA;;Futuna Airport
FTE;;El Calafate
FTI;Фитута;Fitiuta
FTK;;Godman AAF
FTL;;Fortuna Ledge
FTU;;Marillac
FTW;;Meacham Field
FTX;;Owando
FTY;;Fulton County
FUB;Фуллборн;Fulleborn
FUD;;Sui Fen He
FUE;Фуэртевентура;Fuerteventura
FUG;Фуан;Fuyang
FUJ;Фуку;Fukue
FUK;Фукуока;Fukuoka
FUL;;Municipal
FUM;Фума;Fuma
FUN;;International
FUO;Фушань;Fuoshan
FUT;Футуна-Айленд;Futuna Island
FVL;;Flora Valey
FVR;;Forrest River Airport
FWA;;Municipal/Baer Field
FWH;;Fort Worth NAS Jrb/Carswell Field
FWL;;Farewell
FWM;;Heliport
FXE;;Executive
FXM;;Flaxman Island
FXO;;Cuamba
FXY;;Municipal
FYM;;Municipal
FYN;Фуюнь;Fuyun
FYT;Файя;Faya
FYU;;Fort Yukon
FYV;;Municipal (Drake Fld)
FZO;Филтон;Filton
GAA;Гуамал;Guamal
GAB;;Gabbs
GAC;Грация;Gracias
GAD;;Municipal
GAE;Габес;Gabes
GAF;Гафса;Gafsa
GAG;;Gage
GAH;;Gayndah
GAI;;Montgomery County
GAJ;;Junmachi
GAK;;Gakona
GAL;;Galena
GAM;;Gambell
GAN;;Gan Airport
GAO;;Los Canos
GAP;Гусап;Gusap
GAQ;Гао;Gao
GAR;Гарайна;Garaina
GAS;Гарисса;Garissa
GAT;;Tallard
GAU;;Borjhar
GAV;Гаг-Айленд;Gag Island
GAW;Ганго;Gangaw
GAX;Гамба;Gamba
GAY;Гайя;Gaya
GAZ;;Guasopa
GBA;Биг-Бей;Big Bay
GBB;Гара-Джебилет;Gara Djebilet
GBC;Гасуке;Gasuke
GBD;;Great Bend
GBE;;Sir Seretse Khama International
GBF;Негарбо;Negarbo
GBG;;Galesburg
GBH;;Galbraith Lake
GBI;;Auxiliary Airfield
GBJ;;Les Bases
GBK;Гбангбаток;Gbangbatok
GBL;;Goulburn Island
GBM;Гарбахари;Garbaharey
GBN;Сан Джованни Ротондо;San Giovanni Rotondo
GBO;;Baltimore Greenbelt T
GBP;;Gamboola
GBQ;;Muharraq
GBR;;Walter J. Koladza Airport
GBS;Порт-Фицрой;Port Fitzroy
GBT;;Gorgan
GBU;;Khashm El Girba
GBV;;Gibb River
GBZ;Грейт-Барьер-Айленд;Great Barrier Island
GCA;;Guacamaya
GCC;;Campbell County
GCH;;Gachsaran
GCI;Гернси;Guernsey
GCJ;;Grand Central
GCK;;Garden City Municipal Airport
GCM;;Owen Roberts International
GCN;;National Park
GCV;;Gravatai
GCY;;Municipal
GDA;Гунда;Gounda
GDC;;Donaldson Center
GDD;;Gordon Downs
GDE;;Gode/Iddidole
GDG;Магдагачи;Magdagachi
GDH;;Golden Horn Lodge SPB
GDI;Гордил;Gordil
GDJ;Гандаджика;Gandajika
GDL;;Miguel Hidalgo International Airport
GDM;;Municipal
GDN;;Lech Walesa
GDO;;Vare Maria
GDP;Гуадалупе;Guadalupe
GDQ;Гондэр;Gondar
GDT;;Grand Turk Is
GDV;;Dawson Community
GDW;;Gladwin
GDX;Сокол;Sokol
GDZ;Геленджик;Gelendzik
GEA;;Magenta
GEB;Гебе;Gebe
GEC;Геситкале;Gecitkale
GED;;Sussex County
GEE;;George Town
GEF;;Geva Airstrip
GEG;;Spokane International
GEI;;Green Islands
GEK;;Ganes Creek
GEL;;Sepe Tiaraju
GEN;;Oslo - Gardermoen Airport
GER;;Rafael Cabrera
GES;;General Santos International
GET;;Geraldton
GEV;Галливаре;Gallivare
GEW;;Gewoia
GEX;Гелонг;Geelong
GEY;;South Big Horn County
GFA;;Malmstrom AFB
GFB;;Togiak Fish
GFD;;Pope Field
GFE;;Grenfell
GFF;;Griffith
GFK;;Grand Forks
GFL;;Warren County
GFN;;Grafton
GFO;Бартика;Bartica
GFR;Гранвиль;Granville
GFY;Грутфонтейн;Grootfontein
GGC;Лумбала;Lumbala
GGD;;Gregory Downs
GGE;;Georgetown
GGG;;Kilgore
GGL;Жилгал;Gilgal
GGN;;Gagnoa
GGO;;Guiglo
GGR;;Garoe
GGS;;Gobernador Gregores
GGT;;Exuma International
GGW;;International
GHA;;Noumerate
GHB;;Governors Harbour
GHC;;Great Harbour
GHD;Гимби;Ghimbi
GHE;Гарахин;Garachine
GHF;;Giebelstadt
GHK;Гуш-Катиф;Gush Katif
GHM;;Municipal
GHN;Гуанчжань;Guanghan
GHT;Гат;Ghat
GHU;Гуалегуайчу;Gualeguaychu
GIB;;North Front
GIC;;Boigu Island
GID;;Gitega
GIF;;Gilbert Field
GIG;;Galeгo–antonio Carlos Jobim International Airport
GII;Сигуири;Siguiri
GIL;Гилгит;Gilgit
GIM;Миеле-Мимбале;Miele Mimbale
GIR;;Girardot
GIS;Гисборн;Gisborne
GIT;Гейта;Geita
GIU;;Sigiriya Slaf Base
GIY;;Giyani
GIZ;;Jazan
GJA;;Guanaja
GJL;;Jijel
GJM;;Guajara-Mirim
GJR;;Gjogur
GJT;;Walker Field
GKA;Горока;Goroka
GKE;Гайленкирхен;Geilenkirchen
GKH;Горкха;Gorkha
GKL;;Great Keppel Island
GKN;;Gulkana
GKO;Конгобумба;Kongoboumba
GKT;Гатлинбург;Gatlinburg
GLA;;Glasgow International
GLC;Гелади;Geladi
GLD;;Renner Field
GLE;;Municipal
GLF;Голфито;Golfito
GLG;;Glengyle
GLH;;Greenville
GLI;;Glen Innes
GLK;Галкайо;Galcaio
GLL;;Klanten Arpt
GLM;Гленормистон;Glenormiston
GLN;Гулимим;Goulimime
GLO;;Gloucestershire
GLP;Гулгубип;Gulgubip
GLQ;;Glennallen
GLR;;Otsego County
GLS;;Scholes Field
GLT;Гледстоун;Gladstone
GLV;;Golovin
GLW;;Municipal
GLX;Галела;Galela
GLY;;Goldsworthy
GLZ;;Gilze-Rijen
GMA;;Gemena
GMB;Гамбела;Gambela
GMC;Герима;Guerima
GME;Гомель;Gomel
GMI;Гасмата-Айленд;Gasmata Island
GMM;Гамбома;Gamboma
GMN;Греймауз;Greymouth
GMR;;Gambier Is
GMS;Гимараес;Guimaraes
GMT;;Granite Mountain
GMU;;Greenville Downtown
GMV;Моньюмент Вэлли;Monument Valley
GMY;Райндален;Rheindahlen
GMZ;;La Gomera
GNA;Гродно;Grodna
GNB;;Grenoble-isere Airport (St Geoirs)
GND;;Point Salines International
GNE;Гент;Ghent
GNG;;Gooding
GNI;Грин-Айленд;Green Island
GNM;;Guanambi
GNN;Гиннир;Ghinnir
GNR;Хенераль-Рока;General Roca
GNS;;Binaka
GNT;Милан;Milan
GNU;;Goodnews Bay
GNV;;Gainesville Regional
GNZ;Ганзи;Ghanzi
GOA;;Cristoforo Colombo
GOB;Гоба;Goba
GOC;Гора;Gora
GOE;;Gonalia
GOF;;Goodfellow AFB
GOG;;Gobabis
GOH;;Nuuk
GOI;;Dabolim
GOJ;Стригино;Strigino
GOK;;Guthrie
GOL;;State
GOM;Гома;Goma
GON;;New London
GOO;;Goondiwindi
GOP;Горахпур;Gorakhpur
GOQ;Голмуд;Golmud
GOR;Гор;Gore
GOS;;Gosford
GOT;;Landvetter
GOU;Гаруа;Garoua
GOV;;Nhulunbuy
GOY;;Amparai
GOZ;;Gorna Oriahovitsa
GPA;;Araxos Airport
GPB;;Tancredo Thomaz Faria
GPI;Гуапи;Guapi
GPL;Гуапайлз;Guapiles
GPN;;Garden Point
GPO;Хенераль-Пико;General Pico
GPS;;Baltra
GPT;;Gulfport-Biloxi International
GPZ;;Grand Rapids
GQJ;;RAF Station
GQQ;;Galion
GRA;Гамарра;Gamarra
GRB;;Austin-straubel Field
GRC;Гранд-Цесс;Grand Cess
GRD;;Greenwood
GRE;;Municipal
GRF;;Gray Aaf
GRG;Гардез;Gardez
GRH;Гаруахи;Garuahi
GRI;;Grand Island
GRJ;Джордж;George
GRK;;Gray Aaf
GRL;Гараса;Garasa
GRM;;Devils Track
GRN;;Gordon
GRO;;Girona-Costa Brava
GRP;;Gurupi
GRQ;;Eelde
GRR;;Kent County Intl
GRS;;Baccarini
GRT;Гуджрат;Gujrat
GRU;;Guarulhos Intl
GRV;Грозный;Groznyj
GRW;;Graciosa Island
GRX;Гранада;Granada
GRY;Гримси;Grimsey
GRZ;;Thalerhof
GSA;;Long Pasia
GSB;;Seymour Johnson AFB
GSC;;Gascoyne Junction
GSE;;Gothenburg City Airport
GSH;;Goshen
GSI;Гуадалканал;Guadalcanal
GSL;;Taltheilei Narrows
GSM;;Gheshm
GSN;;Mount Gunson
GSO;;Piedmont Triad Intl
GSP;;"Greenville Spartanbur Int&#039;l Airport"
GSQ;;Shark Elowainat
GSR;Гардо;Gardo
GSS;;Sabi Sabi
GST;;Gustavus Arpt
GSU;Гедарев;Gedaref
GSY;;Binbrook
GTA;;Gatokae Aerodrom
GTB;Гентинг;Genting
GTC;;Green Turtle
GTE;;Alyangula
GTF;;International
GTG;;Municipal
GTI;Гюттин;Guettin
GTK;;Sungei Tekai
GTN;;Glentanner
GTO;;Tolotio
GTR;;Golden Triangle Reg.
GTS;;Granites
GTT;;Georgetown
GTW;;Holesov
GTY;Геттисберг;Gettysburg
GUA;;La Aurora
GUB;Гверреро-Негро;Guerrero Negro
GUC;;Gunnison
GUD;Гундам;Goundam
GUE;;Guriaso
GUF;;Edwards
GUG;Гуари;Guari
GUH;;Gunnedah
GUI;Гуйриа;Guiria
GUJ;;Guaratingueta
GUL;Гоулбурн;Goulburn
GUN;;Gunter AFB
GUO;Гуалако;Gualaco
GUP;;Senator Clark
GUQ;Гуанаре;Guanare
GUR;;Gurney
GUS;;Grissom Afb
GUT;;Guetersloh
GUU;;Grundarfjordur
GUV;Мугулу;Mougulu
GUW;Атырау;Atyrau International
GUX;Гуна;Guna
GUY;;Guymon
GUZ;;Guarapari
GVA;;Geneve-cointrin
GVE;;Municipal
GVI;Грин-Ривер;Green River
GVL;;Lee Gilmer Memorial
GVP;;Greenvale
GVR;;Governador Valadares
GVT;;Majors Field
GVW;;Richards-Gebaur
GVX;;Sandviken
GWA;;Gwa
GWD;Гвадар;Gwadar
GWE;Гверу;Gweru
GWL;Гуалиор;Gwalior
GWN;;Gnarowein
GWO;;Leflore
GWS;;Glenwood Springs
GWT;;Westerland - Sylt
GWV;;Glendale
GWW;;Raf Gatow
GWY;;Carnmore
GXF;Сейюн;Seiyun
GXG;Негаге;Negage
GXH;;NAF
GXQ;;Ten. Vidal
GXX;Ягуа;Yagoua
GXY;;Weld County
GYA;Гуаярамерин;Guayaramerin
GYD;Гейдар Алиев;Heydar Aliyev
GYE;;Simon Bolivar
GYI;Гисеный;Gisenyi
GYL;;Argyle
GYM;;Gen Jose M Yanez
GYN;;Santa Genoveva
GYP;;Gympie
GYR;;Litchfield
GYS;;Guang Yuan
GYY;;Gary/Chicago International
GZI;Газни;Ghazni
GZM;;Gozo Heliport
GZO;Гизо;Gizo
GZT;Газиантеп;Gaziantep
GZW;;Ghazvin
HAA;Хасвик;Hasvik
HAB;;Marion County
HAC;;Hachijo Jima
HAD;Халмстад;Halmstad
HAE;;Havasupai
HAF;;Half Moon
HAH;;Prince Said Ibrahim In
HAI;;Dr Haines
HAJ;;Hanover Arpt
HAK;Хайкоу;Haikou
HAL;Халали;Halali
HAM;Аэропорт Гамбурга;Hamburg Airport
HAN;;Noibai International
HAO;Гамильтон;Hamilton
HAP;Лонг Айленд;Long Island
HAQ;;Hanimaadhoo
HAR;;Capital City
HAS;Хаиль;Hail
HAT;;Heathlands
HAU;Хаугезунд;Haugesund
HAV;;Jose Marti Intl
HAW;;Haverfordwest
HAX;;Hatbox Field
HAY;;Haycock
HAZ;Хетцфельдтавен;Hatzfeldthaven
HBA;Хобарт;Hobart
HBB;;Industrial Airpark
HBC;;Hanus Bay
HBD;;Habi
HBE;Борк Эль Араб;Borg El Arab
HBG;;The Hattiesburg-Bobby L. Chain Mun.
HBH;;Hobart Bay
HBI;Харбор-Айленд;Harbour Island
HBL;;Babelegi Heliport
HBN;;Flamingo
HBO;;Municipal
HBR;Хобарт;Hobart
HBT;Хафр-Альбатин;Hafr Albatin
HBX;Хубли;Hubli
HCA;;Howard County
HCB;;Shoal Cove
HCC;;Columbia County
HCM;;Eil
HCN;;Hengchun
HCQ;Холлз Крик;Halls Creek
HCR;;Holy Cross
HCS;;Randburg Heliport
HCW;;Cheraw
HDA;;Hidden Falls
HDB;Хайдельберг;Heidelberg
HDD;Хайдерабад;Hyderabad
HDE;;Brewster Field
HDF;Херингсдорф;Heringsdorf
HDH;;Dillingham Airfield
HDM;Хамадан;Hamadan
HDN;;Yampa Valley
HDR;;Havadarya
HDS;;Hoedspruit Airport
HDY;Хат Яй;Hat Yai
HEA;Герат;Herat
HEB;Хензада;Henzada
HED;;Herendeen
HEE;;Thompson-Robbins
HEH;Хехо;Heho
HEI;;Heide-Buesum
HEK;Хейхе;Heihe
HEL;Хельсинки-Вантаа;Helsinki-Vantaa
HEM;Хельсинки-Мальми;Helsinki-malmi
HEN;;Hendon
HEO;;Haelogo
HER;;Nikos Kazantzakis Airport
HES;;State
HET;Хоххот;Hohhot
HEV;Гуелва;Huelva
HEW;;Hellinikon (Closed)
HEX;;Santo Domingo Herrera
HEY;;Hanchey Army Heliport
HEZ;;Hardy-Anders
HFA;Хайфа;Haifa
HFD;;Brainard
HFE;Шанхай;Shanghai
HFF;;Mackall AAF
HFN;;Hornafjordur
HFS;Хагфорс;Hagfors
HFT;Хаммерфест;Hammerfest
HGA;Харгейса;Hargeisa
HGD;;Hughenden
HGH;Ханчжоу;Hangzhou
HGI;;Higlieg
HGL;Хелголанд;Helgoland
HGN;Мей-Хонг-Сон;Mae Hong Son
HGO;;Korhogo
HGR;;Wash. County Regional
HGS;;Hastings
HGT;;Hunter AAF
HGU;;Kagamuga
HGZ;;Hogatza
HHA;;Huanghua International
HHE;Хачинохе;Hachinohe
HHH;;Hilton Head
HHI;;Wheeler AFB
HHN;;Frankfurt-Hahn
HHP;;H K Heliport
HHQ;;Hua Hin Airport
HHR;;Hawthorne
HHZ;Хикуэру;Hikueru
HIB;;Chisholm
HIC;;Iscor Heliport
HID;Хорн-Айленд;Horn Island
HIE;;Regional
HIF;;Hill Afb
HIG;Хайбери;Highbury
HIH;Хук-Айленд;Hook Island
HII;;Municipal
HIJ;;International
HIK;;Hickam AFB
HIL;Шилаво;Shillavo
HIM;;Hingurakgoda
HIN;;Sacheon
HIO;Портланд;Portland
HIP;;Headingly
HIR;;Henderson Intl
HIS;Хейман Айленд;Hayman Island
HIT;Хиваро;Hivaro
HIW;;Hiroshima West
HIX;;Hiva Oa
HJJ;;Zhi Jiang
HJR;Кхаджурахо;Khajuraho
HJT;;Khujirt
HKA;;Municipal
HKB;;Healy Lake
HKD;Хакодате;Hakodate
HKG;;Hong Kong International
HKK;;Hokitika Arpt
HKN;;Hoskins
HKS;;Hawkins Field
HKT;;Phuket International
HKV;Хасково;Haskovo
HKY;;Hickory
HLA;Лансерия;Lanseria
HLB;;Hillenbrand
HLC;;Hill City
HLD;Хайлар;Hailar
HLF;;Hultsfred - Vimmerby
HLG;;Ohio County
HLH;Уланьхот;Ulanhot
HLI;;Hollister
HLL;;Hillside
HLM;;Park Township
HLN;Хелена;Helena
HLP;;Halim Perdana Kusuma
HLR;;Fort Hood AAF
HLS;Сент Хеленс;St Helens
HLT;Гамильтон;Hamilton
HLU;;Houailou
HLV;Хеленвейл;Helenvale
HLW;Хлухлуве;Hluhluwe
HLY;;Anglesey Airport
HLZ;Гамильтон;Hamilton
HMA;Ханты-Мансийск;Khanty-Mansiysk
HME;;Oued Irara Apt
HMG;;Hermannsburg
HMI;Хами;Hami
HMJ;Хмельницкий;Khmelnitskiy
HMN;;Holloman AFB
HMO;;Gen Pesqueira Garcia
HMR;;Hamar Arpt
HMS;;Homeshore
HMT;;Ryan Field
HMV;;Hemavan
HNA;;Hanamaki
HNB;;Municipal
HNC;;Hatteras
HND;;Haneda
HNE;;Tahneta Pass
HNG;Хьенгене;Hienghene
HNH;;Hoonah
HNI;Хейвени;Heiweni
HNK;;Hinchinbrook Island
HNL;;Honolulu International
HNM;;Hana
HNN;Хонинаби;Honinabi
HNO;;Hercegnovi
HNS;;Municipal
HNX;;Hanna
HNY;Хеньян;Hengyang
HOA;Хола;Hola
HOB;;Lea County
HOC;;Komako
HOD;;Hodeidah Arpt
HOE;Хоуисей;Houeisay
HOF;;Alahsa
HOG;;Frank Pais
HOH;Хохенемс;Hohenems
HOI;Хао-Айленд;Hao Island
HOK;;Hooker Creek
HOL;;Holikachu
HOM;;Homer
HON;;Howes
HOO;;Nhon Co
HOP;;Campbell AAF
HOQ;Хоф;Hof
HOR;;Horta
HOS;;Oscar Reguera
HOT;;Memorial Field
HOU;;William P Hobby
HOV;Ховден;Hovden
HOW;;Howard Afb
HOX;Хомалин;Homalin
HOY;Хой-Айленд;Hoy Island
HPB;;Hooper Bay
HPE;;Hope Vale
HPH;;Catbi
HPN;;Westchester County Apt
HPP;;Poipet
HPR;;Central Hpr
HPT;;Municipal
HPV;;Princeville
HPY;;Baytown
HQM;;Bowerman
HRA;Мансехра;Mansehra
HRB;Харбин;Harbin
HRC;Жарейм;Zhairem
HRE;Хараре;Harare
HRG;Хургада;Hurghada
HRJ;Чаурджхари;Chaurjhari
HRK;Харьков;Kharkov
HRL;;Valley International
HRN;;Heliport
HRO;;Boone County
HRR;Херрера;Herrera
HRS;;Harrismith Airport
HRT;;Linton-On-Ouse
HRY;;Henbury
HRZ;;Horizontina
HSB;Ралей;Raleigh
HSC;Шаньгван;Shaoguan
HSG;;Saga
HSH;;Henderson Sky Harbor
HSI;;Hastings
HSK;Хуэска;Huesca
HSL;;Huslia
HSM;;Horsham
HSN;Чжушань;Zhoushan
HSP;;Ingalls Field
HSS;Хиссар;Hissar
HST;;AFB
HSV;;Huntsville International - Carl T. Jones Field Airport
HSZ;;Hsinchu
HTA;Чита;Chita
HTB;;Terre-de-Bas
HTF;;Hatfield
HTG;Хатанга;Hatanga
HTH;;Hawthorne
HTI;Хамилтон Айленд;Hamilton Island
HTL;;Roscommon County
HTM;;Khatgal
HTN;Хотань;Hotan
HTO;;East Hampton
HTR;Хатерума;Hateruma
HTS;;Tri-State/Milton
HTU;;Hopetoun
HTW;;Lawrence County Airpark
HTZ;Хато-Коросал;Hato Corozal
HUA;;Redstone AAF
